Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:43:53

Start Time	27.04.2026 15:29:05
End Time	27.04.2026 15:43:26


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:29:05

Mass [amu]	Ion Current [A]
21,44	-1,487483e-013
21,47	-1,526507e-013
21,50	-1,521066e-013
21,53	-1,499733e-013
21,56	-1,480985e-013
21,59	-1,472854e-013
21,63	-1,481676e-013
21,66	-1,499196e-013
21,69	-1,501390e-013
21,72	-1,479298e-013
21,75	-1,451334e-013
21,78	-1,433033e-013
21,81	-1,413248e-013
21,84	-1,381555e-013
21,88	-1,363444e-013
21,91	-1,388242e-013
21,94	-1,438897e-013
21,97	-1,474449e-013
22,00	-1,477169e-013
22,03	-1,453283e-013
22,06	-1,417062e-013
22,09	-1,385137e-013
22,13	-1,366843e-013
22,16	-1,361290e-013
22,19	-1,367308e-013
22,22	-1,383420e-013
22,25	-1,401859e-013
22,28	-1,416387e-013
22,31	-1,431343e-013
22,34	-1,452799e-013
22,38	-1,476800e-013
22,41	-1,492990e-013
22,44	-1,494079e-013
22,47	-1,483742e-013
22,50	-1,478960e-013
22,53	-1,495914e-013
22,56	-1,528510e-013
22,59	-1,548158e-013
22,63	-1,530497e-013
22,66	-1,481795e-013
22,69	-1,442235e-013
22,72	-1,452868e-013
22,75	-1,507306e-013
22,78	-1,556307e-013
22,81	-1,564542e-013
22,84	-1,537518e-013
22,88	-1,500261e-013
22,91	-1,474330e-013
22,94	-1,463083e-013
22,97	-1,443499e-013
23,00	-1,394501e-013
23,03	-1,337219e-013
23,06	-1,314780e-013
23,09	-1,340497e-013
23,13	-1,396071e-013
23,16	-1,458400e-013
23,19	-1,505495e-013
23,22	-1,520380e-013
23,25	-1,507704e-013
23,28	-1,490835e-013
23,31	-1,480650e-013
23,34	-1,464161e-013
23,38	-1,436173e-013
23,41	-1,421370e-013
23,44	-1,442640e-013
23,47	-1,479596e-013
23,50	-1,489802e-013
23,53	-1,467476e-013
23,56	-1,446658e-013
23,59	-1,446279e-013
23,63	-1,448054e-013
23,66	-1,440921e-013
23,69	-1,450838e-013
23,72	-1,495690e-013
23,75	-1,539238e-013
23,78	-1,524224e-013
23,81	-1,442632e-013
23,84	-1,355101e-013
23,88	-1,330386e-013
23,91	-1,374227e-013
23,94	-1,437246e-013
23,97	-1,475092e-013
24,00	-1,472259e-013
24,03	-1,435014e-013
24,06	-1,396994e-013
24,09	-1,399397e-013
24,13	-1,442337e-013
24,16	-1,486050e-013
24,19	-1,500931e-013
24,22	-1,488290e-013
24,25	-1,459865e-013
24,28	-1,424205e-013
24,31	-1,387258e-013
24,34	-1,348169e-013
